,id,fk_plan
630,2096,49
631,2097,49
632,2098,49
633,2099,49
634,2100,49
635,2101,49
636,2107,49
637,2108,49
638,2109,49
639,2110,49
640,2111,49
641,2112,49
642,2125,49
643,2126,49
644,2127,49
645,2128,49
646,2134,50
647,2135,50
648,2136,50
649,2137,50
650,2138,50
651,2139,50
652,2140,50
653,2141,50
654,2146,50
655,2147,50
656,2148,50
657,2149,50
658,2162,50
659,2163,50
660,2164,50
661,2165,50
662,2170,50
663,2171,50
665,2173,50
666,2177,50
667,2178,50
668,2179,50
669,2189,50
670,2190,50
672,2192,50
673,2196,50
674,2197,50
675,2198,50
676,2246,51
677,2247,51
678,2248,51
679,2249,51
680,2250,51
681,2251,51
682,2252,51
683,2253,51
684,2258,51
685,2259,51
686,2260,51
687,2261,51
688,2275,51
689,2276,51
690,2277,51
691,2278,51
692,2283,51
693,2284,51
694,2285,51
695,2286,51
696,2287,51
697,2288,51
698,2289,51
699,2290,51
700,2295,51
701,2296,51
702,2297,51
703,2298,51
704,2312,51
705,2313,51
706,2314,51
707,2315,51
708,2325,51
709,2326,51
710,2332,51
711,2333,51
712,2352,52
713,2353,52
714,2354,52
715,2355,52
716,2358,52
717,2359,52
718,2366,52
719,2367,52
720,2370,53
721,2371,53
722,2372,53
723,2373,53
724,2376,53
725,2377,53
726,2384,53
727,2385,53
729,2419,54
730,2420,54
731,2422,54
732,2423,54
733,2424,54
734,2428,54
735,2429,54
736,2430,54
737,2431,54
738,2442,54
739,2443,54
740,2444,54
741,2445,54
743,2449,55
744,2450,55
745,2452,55
746,2453,55
747,2454,55
748,2458,55
749,2459,55
750,2460,55
751,2461,55
752,2472,55
753,2473,55
754,2474,55
755,2475,55
756,2479,55
757,2480,55
758,2481,55
759,2482,55
760,2485,55
761,2486,55
762,2493,55
763,2494,55
764,2506,56
766,2509,56
767,2513,57
769,2516,57
770,2527,58
772,2530,58
773,2534,59
775,2537,59
776,2548,56
777,2549,56
778,2551,56
779,2555,57
780,2556,57
781,2558,57
782,2569,58
783,2570,58
784,2572,58
785,2576,59
786,2577,59
787,2579,59
788,2627,60
789,2628,60
790,2629,60
791,2630,60
792,2631,60
793,2632,60
794,2633,60
795,2634,60
796,2635,60
797,2641,60
798,2642,60
799,2643,60
800,2644,60
801,2645,60
802,2646,60
803,2662,60
804,2663,60
805,2664,60
806,2665,60
807,2671,60
808,2672,60
809,2673,60
810,2674,60
811,2675,60
812,2676,60
813,2677,60
814,2678,60
815,2679,60
816,2685,60
817,2686,60
